Atlanta, Atlanta Braves, Atlanta Falcons, Atlanta Hawks, 
Austin, , , , 
Baltimore, Baltimore Orioles, Baltimore Ravens, , 
Boston, Boston Red Sox, New England Patriots, Boston Celtics, Boston Bruins
Buffalo, , Buffalo Bills, , Buffalo Sabres
Calgary, , , , Calgary Flames
Charlotte, , Carolina Panthers, Charlotte Hornets, 
Chicago, Chicago CubsChicago Whitesox, Chicago Bears, Chicago Bulls, Chicago Blackhawks
Cincinnati, Cincinnati Reds, Cincinnati Bengals, , 
Cleveland, Cleveland Guardians, Cleveland Browns, Cleveland Cavaliers, 
Columbus, , , , Columbus Blue Jackets
Dallas, Texas Rangers, Dallas Cowboys, Dallas Mavericks, Dallas Stars
Denver, Colorado Rockies, Denver Broncos, Denver Nuggets, Colorado Avalanche
Detroit, Detroit Tigers, Detroit Lions, Detroit Pistons, Detroit Red Wings
Edmonton, , , , Edmonton Oilers
Green Bay, , Green Bay Packers, , 
Houston, Houston Astros, Houston Texans, Houston Rockets, 
Indianapolis, , Indianapolis Colts, Indiana Pacers, 
Jacksonville, , Jacksonville Jaguars, , 
Kansas City, Kansas City Royals, Kansas City Chiefs, , 
Las Vegas, , Las Vegas Raiders, , Vegas Golden Knights
Los Angeles, LA DodgersLA Angels, LA RamsLA Chargers, LA LakersLA Clippers, LA KingsAnaheim Ducks
Memphis, , , Memphis Grizzlies, 
Miami, Miami Marlins, Miami Dolphins, Miami Heat, Florida Panthers
Minneapolis, Minnesota Twins, Minnesota Vikings, Minnesota Timberwolves, Minnesota Wild
Milwaukee, Milwaukee Brewers, , Milwaukee Bucks, 
Montreal, , , , Montreal Canadiens
Nashville, , Tennessee Titans, , Nashville Predators
New Orleans, , New Orleans Saints, New Orleans Pelicans, 
New York, New York YankeesNew York Mets, New York GiantsNew York Jets, New York KnicksBrooklyn Nets, New York RangersNew York IslandersNew Jersey Devils
Oklahoma City, , , Oklahoma City Thunder, 
Ottawa, , , , Ottawa Senators
Orlando, , , Orlando Magic, 
Philadelphia, Philadelphia Phillies, Philadelphia Eagles, Philadelphia 76ers, Philadelphia Flyers
Phoenix, Arizona Diamond Backs, Arizona Cardinals, Phoenix Suns, 
Pittsburgh, Pittsburgh Pirates, Pittsburgh Steelers, , Pittsburgh Penguins
Portland, , , Portland Trailblazers, 
Raleigh, , , , Carolina Hurricanes
Sacramento, Athletics, , Sacramento Kings, 
Salt Lake, , , Utah Jazz, Utah
San Antonio, , , San Antonio Spurs, 
San Diego, San Diego Padres, , , 
San Francisco, San Francisco Giants, San Francisco 49ers, Golden State Warriors, 
San Jose, , , , San Jose Sharks
St. Louis, St. Louis Cardinals, , , St. Louis Blues
Seattle, Seattle Mariners, Seattle Seahawks, , Seattle Kraken
Tampa, Tampa Bay Rays, Tampa Bay Buccaneers, , Tampa Bay Lightening
Toronto, Toronto Blue Jays, , Toronto Raptors, Toronto Maple Leafs
Vancouver, , , , Vancouver Canucks
Washington, Washington Nationals, Washington Commanders, Washington Wizards, Washington Capitals
Winnipeg, , , , Winnipeg Jets
